park_code,queue_times_id,queue_times_name,entity_code,touringplans_name,match_score,REVIEW_STATUS,CORRECT_TP_CODE,NOTES
ep,13772,Gallery of Arts and History,EP13772,,0.0,,,
ep,13782,SeaBase Aquarium,EP13782,,0.0,,,
ep,13778,Kidcot Fun Stops,EP13778,,0.0,,,
ep,13770,Bruce's Shark World,EP113,Holidays Around the World,0.51,,,
ep,13775,Project Tomorrow: Inventing the Wonders of the Future,EP119,Project Tomorrow,0.52,,,
ep,13777,"ImageWorks - The ""What If"" Labs",EP112,ImageWorks,0.57,,,
ep,13779,Palais du Cinéma,EP202,Atlas Fusion,0.57,,,
ep,13780,Mexico Folk Art Gallery,EP118,American Heritage Gallery,0.58,,,
ep,10900,Test Track Presented by Chevrolet Single Rider,EP14,Test Track presented by General Motors,0.67,,,
ak,12451,Meet Moana at Character Landing,AK42,Discovery Island Character Landing,0.71,,,
ak,655,Wildlife Express Train,AK10,Wildlife Express Train: Africa Station,0.73,,,
ak,13751,Tree of Life,AK55,Tree of Life Waypoint: In front of Tree of Life,0.73,,,
ep,13774,Advanced Training Lab,EP116,Misson: SPACE Advanced Training Lab,0.75,,,
ca,14742,World of Color Happiness!,CA63,World of Color FASTPASS Kiosk,0.76,,,
dl,674,Disneyland Railroad,DL13,Disneyland Monorail,0.79,,,
