entity_code,park_code,queue_times_id,queue_times_name,touringplans_name,match_score
AK03,ak,6364,Le Petit Train,Camp Minnie-Mickey Greeting Trails,0.62
AK10760,ak,10760,Tonnerre 2 Zeus,,0.0
AK109,ak,8211,Panoramix Play Area,Pandora Rangers,0.53
AK11770,ak,11770,Toutatis,,0.0
AK11774,ak,11774,Sanglier d'Or playground,,0.0
AK11775,ak,11775,Chez Gyrofolix,,0.0
AK124,ak,5656,Les Chaudrons,Beats and Strings,0.53
AK13074,ak,13074,La tour de Numérobis,,0.0
AK13874,ak,13874,Epidemaïs Croisières,,0.0
AK14606,ak,14606,Les jardins merveilleux du Père Noël,,0.0
AK14936,ak,14936,Cétautomatix,,0.0
AK27,ak,6457,Attention Menhir !,Affection Section,0.51
AK31,ak,8216,L'Aventure Astérix,Adventurer's Celebration Gathering,0.68
AK5642,ak,5642,Pégase Express,,0.0
AK5643,ak,5643,Discobélix,,0.0
AK5645,ak,5645,Les Chaises Volantes,,0.0
AK5649,ak,5649,OzIris,,0.0
AK5650,ak,5650,La Trace du Hourra,,0.0
AK5651,ak,5651,Goudurix,,0.0
AK5652,ak,5652,Les Espions de César,,0.0
AK5654,ak,5654,La Rivière d'Elis,,0.0
AK5657,ak,5657,L'Oxygénarium,,0.0
AK5659,ak,5659,L'Hydre de Lerne,,0.0
AK5660,ak,5660,Le Vol d'Icare,,0.0
AK6102,ak,6102,Le Cheval de Troie,,0.0
AK6363,ak,6363,Hydrolix,,0.0
AK76,ak,5646,La Galère,Island Groove,0.55
AK81,ak,6153,SOS Tournevis,Story Dancers,0.54
AK8184,ak,8184,Le Carrousel de César,,0.0
AK8189,ak,8189,La Petite Tempête,,0.0
AK8190,ak,8190,Les Petits Drakkars,,0.0
AK8200,ak,8200,Les Petites Chaises Volantes,,0.0
AK8201,ak,8201,L'Escadrille des As,,0.0
AK8203,ak,8203,Les Petits Chars tamponneurs,,0.0
AK8205,ak,8205,Etamine,,0.0
AK8206,ak,8206,Enigmatix,,0.0
AK8207,ak,8207,Aérodynamix,,0.0
AK8208,ak,8208,Lavomatix,,0.0
AK8212,ak,8212,Petit Chêne Play Area,,0.0
CA01,ca,294,Turtle Talk with Crush,Turtle Talk with Crush,1.0
CA03,ca,291,"Monsters, Inc. Mike & Sulley to the Rescue!","Monsters, Inc. Mike & Sulley to the Rescue!",1.0
CA09,ca,312,Soarin' Around the World,Soarin' Around the World,1.0
CA107,ca,13960,Games of Pixar Pier,Games of Pixar Pier,1.0
CA109,ca,295,Radiator Springs Racers,Radiator Springs Racers,1.0
CA110,ca,315,Mater's Junkyard Jamboree,Mater's Junkyard Jamboree,1.0
CA12,ca,302,Grizzly River Run,Grizzly River Run,1.0
CA120,ca,10904,Radiator Springs Racers Single Rider,Radiator Springs Racers Single Rider Line,0.94
CA14,ca,293,Redwood Creek Challenge Trail,Redwood Creek Challenge Trail,1.0
CA148,ca,13961,Luigi's Rollickin' Roadsters,Luigi's Rollickin' Roadsters,1.0
CA155,ca,329,Guardians of the Galaxy - Mission: BREAKOUT!,Guardians of the Galaxy – Mission: BREAKOUT!,0.97
CA167,ca,322,Incredicoaster,Incredicoaster,1.0
CA173,ca,310,Jessie's Critter Carousel,Jessie's Critter Carousel,1.0
CA176,ca,10906,Incredicoaster Single Rider,Incredicoaster Single Rider Line,1.0
CA179,ca,6440,Mickey's PhilharMagic,Mickey's PhilharMagic,1.0
CA180,ca,6643,Inside Out Emotional Whirlwind,Inside Out Emotional Whirlwind,1.0
CA188,ca,8843,WEB SLINGERS: A Spider-Man Adventure,WEB SLINGERS: A Spider-Man Adventure,1.0
CA188,ca,10907,WEB SLINGERS: A Spider-Man Adventure Single Rider,WEB SLINGERS: A Spider-Man Adventure,0.85
CA21,ca,298,Golden Zephyr,Golden Zephyr,1.0
CA22,ca,300,Jumpin' Jellyfish,Jumpin' Jellyfish,1.0
CA28,ca,311,Pixar Pal-A-Round - Swinging,Pixar Pal-A-Round - Swinging,1.0
CA30,ca,313,Toy Story Midway Mania!,Toy Story Midway Mania!,1.0
CA36,ca,321,Animation Academy,Animation Academy,1.0
CA38,ca,868,Sorcerer's Workshop,Sorcerer's Workshop,1.0
CA39,ca,5557,Pixar Pal-A-Round – Non-Swinging,Pixar Pal-A-Round - Non Swinging,0.94
CA47,ca,13959,The Bakery Tour,The Bakery Tour,1.0
CA56,ca,301,Silly Symphony Swings,Silly Symphony Swings - Single,0.82
CA56,ca,10905,Silly Symphony Swings Single Rider,Silly Symphony Swings - Single,0.88
CA63,ca,14742,World of Color Happiness!,World of Color FASTPASS Kiosk,0.76
CA67,ca,319,Goofy's Sky School,Goofy's Sky School,1.0
CA68,ca,316,The Little Mermaid - Ariel's Undersea Adventure,The Little Mermaid ~ Ariel's Undersea Adventure,0.98
DL01,dl,285,Alice in Wonderland,Alice in Wonderland,1.0
DL02,dl,287,Astro Orbitor,Astro Orbitor,1.0
DL03,dl,317,Autopia,Autopia,1.0
DL05,dl,323,Big Thunder Mountain Railroad,Big Thunder Mountain Railroad,1.0
DL07,dl,273,Buzz Lightyear Astro Blasters,Buzz Lightyear Astro Blasters,1.0
DL09,dl,303,Casey Jr. Circus Train,Casey Jr. Circus Train,1.0
DL103,dl,690,Great Moments with Mr. Lincoln,The Disneyland Story presenting Great Moments with Mr. Lincoln,0.82
DL11,dl,304,Davy Crockett's Explorer Canoes,Davy Crockett's Explorer Canoes,1.0
DL12,dl,6711,Meet Disney Princesses at Royal Hall,Meet Disney Princesses at Royal Hall,1.0
DL13,dl,674,Disneyland Railroad,Disneyland Monorail,0.79
DL13,dl,274,Disneyland Monorail,Disneyland Monorail,1.0
DL16,dl,275,Dumbo the Flying Elephant,Dumbo the Flying Elephant,1.0
DL17,dl,288,Walt Disney's Enchanted Tiki Room,Walt Disney's Enchanted Tiki Room,1.0
DL179,dl,6339,Millennium Falcon: Smugglers Run,Millennium Falcon: Smugglers Run,1.0
DL18,dl,276,Finding Nemo Submarine Voyage,Finding Nemo Submarine Voyage,1.0
