date,total_students,students_in_session,students_on_break,pct_on_break,pct_in_session,primary_reason
2025-07-01,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-02,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-03,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-04,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-05,46407113,0,46407113,100.0,0.0,weekend
2025-07-06,46407113,0,46407113,100.0,0.0,weekend
2025-07-07,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-08,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-09,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-10,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-11,46407113,24239,46382874,99.9,0.1,summer_break
2025-07-12,46407113,0,46407113,100.0,0.0,weekend
2025-07-13,46407113,0,46407113,100.0,0.0,weekend
2025-07-14,46407113,74144,46332969,99.8,0.2,summer_break
2025-07-15,46407113,74144,46332969,99.8,0.2,summer_break
2025-07-16,46407113,87184,46319929,99.8,0.2,summer_break
2025-07-17,46407113,87184,46319929,99.8,0.2,summer_break
2025-07-18,46407113,87184,46319929,99.8,0.2,summer_break
2025-07-19,46407113,0,46407113,100.0,0.0,weekend
2025-07-20,46407113,0,46407113,100.0,0.0,weekend
2025-07-21,46407113,110365,46296748,99.8,0.2,summer_break
2025-07-22,46407113,143646,46263467,99.7,0.3,summer_break
2025-07-23,46407113,180265,46226848,99.6,0.4,summer_break
2025-07-24,46407113,180265,46226848,99.6,0.4,summer_break
2025-07-25,46407113,203340,46203773,99.6,0.4,summer_break
2025-07-26,46407113,0,46407113,100.0,0.0,weekend
2025-07-27,46407113,0,46407113,100.0,0.0,weekend
2025-07-28,46407113,222050,46185063,99.5,0.5,summer_break
2025-07-29,46407113,249310,46157803,99.5,0.5,summer_break
2025-07-30,46407113,315056,46092057,99.3,0.7,summer_break
2025-07-31,46407113,1151605,45255508,97.5,2.5,summer_break
2025-08-01,46407113,1804154,44602959,96.1,3.9,summer_break
2025-08-02,46407113,0,46407113,100.0,0.0,weekend
2025-08-03,46407113,0,46407113,100.0,0.0,weekend
2025-08-04,46407113,4262135,42144978,90.8,9.2,summer_break
2025-08-05,46407113,4451200,41955913,90.4,9.6,summer_break
2025-08-06,46407113,5991085,40416028,87.1,12.9,summer_break
2025-08-07,46407113,7436281,38970832,84.0,16.0,summer_break
2025-08-08,46407113,7941929,38465184,82.9,17.1,summer_break
2025-08-09,46407113,0,46407113,100.0,0.0,weekend
2025-08-10,46407113,0,46407113,100.0,0.0,weekend
2025-08-11,46407113,15295472,31111641,67.0,33.0,summer_break
2025-08-12,46407113,20043915,26363198,56.8,43.2,summer_break
2025-08-13,46407113,22447641,23959472,51.6,48.4,summer_break
2025-08-14,46407113,24863534,21543579,46.4,53.6,summer_break
2025-08-15,46407113,25087226,21319887,45.9,54.1,summer_break
2025-08-16,46407113,0,46407113,100.0,0.0,weekend
2025-08-17,46407113,0,46407113,100.0,0.0,weekend
2025-08-18,46407113,27589538,18817575,40.5,59.5,summer_break
2025-08-19,46407113,29500649,16906464,36.4,63.6,summer_break
2025-08-20,46407113,31197192,15209921,32.8,67.2,summer_break
2025-08-21,46407113,31439490,14967623,32.3,67.7,summer_break
2025-08-22,46407113,31446864,14960249,32.2,67.8,summer_break
2025-08-23,46407113,0,46407113,100.0,0.0,weekend
2025-08-24,46407113,0,46407113,100.0,0.0,weekend
2025-08-25,46407113,36691104,9716009,20.9,79.1,summer_break
2025-08-26,46407113,37578264,8828849,19.0,81.0,summer_break
2025-08-27,46407113,38845006,7562107,16.3,83.7,summer_break
2025-08-28,46407113,39685851,6721262,14.5,85.5,summer_break
2025-08-29,46407113,39694320,6712793,14.5,85.5,summer_break
2025-08-30,46407113,0,46407113,100.0,0.0,weekend
2025-08-31,46407113,0,46407113,100.0,0.0,weekend
2025-09-01,46407113,0,46407113,100.0,0.0,labor_day
2025-09-02,46407113,42484773,3922340,8.5,91.5,summer_break
2025-09-03,46407113,42686856,3720257,8.0,92.0,summer_break
2025-09-04,46407113,46347995,59118,0.1,99.9,summer_break
2025-09-05,46407113,46347995,59118,0.1,99.9,summer_break
2025-09-06,46407113,0,46407113,100.0,0.0,weekend
2025-09-07,46407113,0,46407113,100.0,0.0,weekend
2025-09-08,46407113,46363428,43685,0.1,99.9,summer_break
2025-09-09,46407113,46363428,43685,0.1,99.9,summer_break
2025-09-10,46407113,46363428,43685,0.1,99.9,summer_break
2025-09-11,46407113,46363428,43685,0.1,99.9,summer_break
2025-09-12,46407113,46363428,43685,0.1,99.9,summer_break
2025-09-13,46407113,0,46407113,100.0,0.0,weekend
