date,total_students,students_in_session,students_on_break,pct_on_break,pct_in_session,primary_reason,pct_confirmed
2025-07-01,46259613,65969,46193644,99.9,0.1,summer_break,97.6
2025-07-02,46259613,66690,46192923,99.9,0.1,summer_break,97.6
2025-07-03,46259613,66690,46192923,99.9,0.1,summer_break,97.6
2025-07-04,46259613,66690,46192923,99.9,0.1,summer_break,97.6
2025-07-05,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-06,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-07,46259613,71322,46188291,99.8,0.2,summer_break,97.6
2025-07-08,46259613,110095,46149518,99.8,0.2,summer_break,97.5
2025-07-09,46259613,110095,46149518,99.8,0.2,summer_break,97.5
2025-07-10,46259613,110095,46149518,99.8,0.2,summer_break,97.5
2025-07-11,46259613,110669,46148944,99.8,0.2,summer_break,97.5
2025-07-12,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-13,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-14,46259613,162674,46096939,99.6,0.4,summer_break,97.5
2025-07-15,46259613,162963,46096650,99.6,0.4,summer_break,97.5
2025-07-16,46259613,180338,46079275,99.6,0.4,summer_break,97.5
2025-07-17,46259613,181462,46078151,99.6,0.4,summer_break,97.5
2025-07-18,46259613,183673,46075940,99.6,0.4,summer_break,97.5
2025-07-19,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-20,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-21,46259613,249568,46010045,99.5,0.5,summer_break,97.5
2025-07-22,46259613,288766,45970847,99.4,0.6,summer_break,97.5
2025-07-23,46259613,366552,45893061,99.2,0.8,summer_break,97.5
2025-07-24,46259613,396415,45863198,99.1,0.9,summer_break,97.5
2025-07-25,46259613,423904,45835709,99.1,0.9,summer_break,97.5
2025-07-26,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-27,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-07-28,46259613,533812,45725801,98.8,1.2,summer_break,97.5
2025-07-29,46259613,597167,45662446,98.7,1.3,summer_break,97.5
2025-07-30,46259613,723088,45536525,98.4,1.6,summer_break,97.5
2025-07-31,46259613,1156160,45103453,97.5,2.5,summer_break,97.5
2025-08-01,46259613,1624214,44635399,96.5,3.5,summer_break,97.5
2025-08-02,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-03,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-04,46259613,4438175,41821438,90.4,9.6,summer_break,97.4
2025-08-05,46259613,4815129,41444484,89.6,10.4,summer_break,97.4
2025-08-06,46259613,5889006,40370607,87.3,12.7,summer_break,97.4
2025-08-07,46259613,7520791,38738822,83.7,16.3,summer_break,97.4
2025-08-08,46259613,8152148,38107465,82.4,17.6,summer_break,97.4
2025-08-09,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-10,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-11,46259613,15500428,30759185,66.5,33.5,summer_break,96.9
2025-08-12,46259613,18429807,27829806,60.2,39.8,summer_break,96.8
2025-08-13,46259613,21814458,24445155,52.8,47.2,summer_break,96.9
2025-08-14,46259613,24230395,22029218,47.6,52.4,summer_break,96.6
2025-08-15,46259613,24325665,21933948,47.4,52.6,summer_break,96.6
2025-08-16,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-17,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-18,46259613,29194753,17064860,36.9,63.1,summer_break,97.8
2025-08-19,46259613,30048851,16210762,35.0,65.0,summer_break,97.7
2025-08-20,46259613,31001461,15258152,33.0,67.0,summer_break,97.7
2025-08-21,46259613,31527015,14732598,31.8,68.2,summer_break,97.7
2025-08-22,46259613,31554232,14705381,31.8,68.2,summer_break,97.7
2025-08-23,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-24,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-25,46259613,36362116,9897497,21.4,78.6,summer_break,97.8
2025-08-26,46259613,37294565,8965048,19.4,80.6,summer_break,97.9
2025-08-27,46259613,38111685,8147928,17.6,82.4,summer_break,97.8
2025-08-28,46259613,38633605,7626008,16.5,83.5,summer_break,97.8
2025-08-29,46259613,38660776,7598837,16.4,83.6,summer_break,97.8
2025-08-30,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-08-31,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-01,46259613,0,46259613,100.0,0.0,labor_day,97.6
2025-09-02,46259613,42852750,3406863,7.4,92.6,summer_break,99.2
2025-09-03,46259613,43479407,2780206,6.0,94.0,summer_break,99.0
2025-09-04,46259613,44935264,1324349,2.9,97.1,summer_break,100.0
2025-09-05,46259613,45137841,1121772,2.4,97.6,summer_break,100.0
2025-09-06,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-07,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-08,46259613,46129870,129743,0.3,99.7,in_session,100.0
2025-09-09,46259613,46133922,125691,0.3,99.7,in_session,100.0
2025-09-10,46259613,46133922,125691,0.3,99.7,in_session,100.0
2025-09-11,46259613,46145662,113951,0.2,99.8,in_session,100.0
2025-09-12,46259613,46170715,88898,0.2,99.8,in_session,100.0
2025-09-13,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-14,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-15,46259613,46170715,88898,0.2,99.8,in_session,100.0
2025-09-16,46259613,46214431,45182,0.1,99.9,in_session,100.0
2025-09-17,46259613,46214431,45182,0.1,99.9,in_session,100.0
2025-09-18,46259613,46214431,45182,0.1,99.9,in_session,100.0
2025-09-19,46259613,46214431,45182,0.1,99.9,in_session,100.0
2025-09-20,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-21,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-22,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-09-23,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-09-24,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-09-25,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-09-26,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-09-27,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-28,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-09-29,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-09-30,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-01,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-02,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-03,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-04,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-05,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-06,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-07,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-08,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-09,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-10,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-11,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-12,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-13,46259613,0,46259613,100.0,0.0,columbus_day,97.6
2025-10-14,46259613,40467339,5792274,12.5,87.5,fall_break,97.6
2025-10-15,46259613,40467339,5792274,12.5,87.5,fall_break,97.6
2025-10-16,46259613,40467339,5792274,12.5,87.5,fall_break,97.6
2025-10-17,46259613,40467339,5792274,12.5,87.5,fall_break,97.6
2025-10-18,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-19,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-20,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-21,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-22,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-23,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-24,46259613,46215928,43685,0.1,99.9,in_session,100.0
2025-10-25,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-26,46259613,0,46259613,100.0,0.0,weekend,97.6
2025-10-27,46259613,46215928,43685,0.1,99.9,in_session,100.0
