district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Aiken County Public Schools 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/aiken-county-public-schools/,aiken-county-public-schools,2026-03-26,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-07-21,2025-07-21,2026-05-28,2025-2026,2026-03-08
Akron Public Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/akron-public-schools/,akron-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-28,2025-08-21,2025-08-21,2026-05-28,2025-2026,2026-03-08
Alachua County Public Schools 2025-2026 PDF,Florida,https://schoolcalendarinfo.com/alachua-county-public-schools/,alachua-county-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-06-02,2025-08-11,2025-08-11,2026-06-02,2025-2026,2026-03-08
Alamogordo Public Schools 2025-2026 in PDF,New Mexico,https://schoolcalendarinfo.com/alamogordo-public-schools/,alamogordo-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-06-11,2025-08-07,2025-08-07,2026-06-11,2025-2026,2026-03-08
Albemarle County Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/albemarle-county-public-schools/,albemarle-county-public-schools,2026-04-06,2026-04-10,2025-12-19,2026-01-02,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Albuquerque Public Schools Holidays 2025-2026 PDF,New Mexico,https://schoolcalendarinfo.com/albuquerque-public-schools/,albuquerque-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-28,2025-08-07,2025-08-07,2026-05-28,2025-2026,2026-03-08
Aldine Independent School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/aldine-independent-school-district/,aldine-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Alexander County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/alexander-county-schools/,alexander-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-21,2025-08-25,2025-08-25,2026-05-21,2025-2026,2026-03-08
Alief Independent School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/alief-independent-school-district/,alief-independent-school-district,2026-03-09,2026-03-16,2025-12-22,2026-01-05,2026-05-29,2025-08-12,2025-08-12,2026-05-29,2025-2026,2026-03-08
Allen Independent School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/allen-independent-school-district/,allen-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Allentown School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/allentown-school-district/,allentown-school-district,2026-04-02,2026-04-07,2025-12-22,2026-01-02,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Alpine School District Holidays 2025-2026 PDF,Utah,https://schoolcalendarinfo.com/alpine-school-district/,alpine-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Amphi School District 2025-2026 in PDF | Download,Arizona,https://schoolcalendarinfo.com/amphi-school-district/,amphi-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-20,2025-08-06,2025-08-06,2026-05-20,2025-2026,2026-03-08
Anchorage School District 2025-2026,Alaska,https://schoolcalendarinfo.com/anchorage-school-district/,anchorage-school-district,2026-03-09,2026-03-13,2025-12-22,2026-01-02,2026-05-20,2025-08-14,2025-08-14,2026-05-20,2025-2026,2026-03-08
Ankeny School District 2025-2026 in PDF,Iowa,https://schoolcalendarinfo.com/ankeny-school-district/,ankeny-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Anne Arundel County Public Schools 2025-2026 PDF,Maryland,https://schoolcalendarinfo.com/anne-arundel-county-public-schools/,anne-arundel-county-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-17,2025-08-26,2025-08-26,2026-06-17,2025-2026,2026-03-08
