district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Aiken County Public Schools 2025-2026 in PDF,South Carolina,aiken-county-public-schools,2024-2025,2025-03-31,2025-04-11,2024-12-23,2025-01-06,2025-05-29,2024-07-22,2024-07-22,2025-05-29,schoolcalendarinfo.com (current page)
Akron Public Schools 2025-2026 in PDF,Ohio,akron-public-schools,2024-2025,2025-03-18,2025-03-25,2024-12-23,2025-01-03,2025-06-05,2024-08-29,2024-08-29,2025-06-05,schoolcalendarinfo.com (current page)
Alamogordo Public Schools 2025-2026 in PDF,New Mexico,alamogordo-public-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Albemarle County Public Schools 2025-2026 in PDF,Virginia,albemarle-county-public-schools,2024-2025,,,,,2025-06-09,2024-08-21,2024-08-21,2025-06-09,schoolcalendarinfo.com (current page)
Aldine Independent School District 2025-2026 in PDF,Texas,aldine-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-20,2025-01-07,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Alpine School District Holidays 2025-2026 PDF,Utah,alpine-school-district,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-23,2024-08-15,2024-08-15,2025-05-23,schoolcalendarinfo.com (current page)
Amphi School District 2025-2026 in PDF | Download,Arizona,amphi-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-03,2025-05-21,2024-08-07,2024-08-07,2025-05-21,schoolcalendarinfo.com (current page)
Anchorage School District 2025-2026,Alaska,anchorage-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-03,2025-05-21,2024-08-15,2024-08-15,2025-05-21,schoolcalendarinfo.com (current page)
Andrews Independent School District 2024-2025 in PDF,Texas,andrews-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-07,2025-05-23,2024-08-15,2024-08-15,2025-05-23,schoolcalendarinfo.com (current page)
Ann Arbor Public Schools 2025 in PDF | Download Now,Michigan,ann-arbor-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-11,2024-08-26,2024-08-26,2025-06-11,schoolcalendarinfo.com (current page)
Anne Arundel County Public Schools 2025-2026 PDF,Maryland,anne-arundel-county-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-01,2025-06-13,2024-08-26,2024-08-26,2025-06-13,schoolcalendarinfo.com (current page)
Arlington Public Schools 2025-2026 in PDF,Virginia,arlington-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-18,2024-08-26,2024-08-26,2025-06-18,schoolcalendarinfo.com (current page)
Asheboro City Schools 2025-2026 in PDF | Download,North Carolina,asheboro-city-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-10,2024-08-26,2024-08-26,2025-06-10,schoolcalendarinfo.com (current page)
Asheville City Schools 2025-2026 in PDF,North Carolina,asheville-city-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-06-06,2024-08-26,2024-08-26,2025-06-06,schoolcalendarinfo.com (current page)
Atlanta Public Schools Holidays 2022-2023,,atlanta-public-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-29,2024-08-01,2024-08-01,2025-05-29,schoolcalendarinfo.com (current page)
