leaid,enrollment_2324
0100005,5821
0100006,6040
0100007,13524
0100008,12736
0100011,2244
0100012,2554
0100013,5012
0100030,2849
0100060,1884
0100090,1909
0100100,2637
0100120,5034
0100180,1538
0100185,3488
0100188,2559
0100189,1494
0100190,6348
0100194,3448
0100195,2787
0100197,712
0100199,699
0100201,438
0100202,2644
0100203,758
0100204,718
0100207,528
0100208,339
0100210,9466
0100211,343
0100213,168
0100240,8977
0100270,31818
0100300,679
0100330,3121
0100360,3077
0100390,20884
0100420,7706
0100450,1171
0100480,1367
0100510,2795
0100540,8021
0100600,3123
0100630,3917
0100660,7930
0100690,1034
0100720,2158
0100750,1776
0100780,2525
0100810,2904
0100840,2645
0100870,1411
0100900,781
0100930,3085
0100960,2088
0100990,3199
0101020,9902
0101050,3313
0101080,1221
0101110,2331
0101140,8704
0101170,8665
0101200,2037
0101230,8035
0101260,636
0101290,11820
0101320,6585
0101350,4162
0101380,8714
0101410,6943
0101440,1321
0101470,2238
0101530,4519
0101560,3550
0101590,3640
0101620,4872
0101640,1263
0101660,2819
0101680,881
0101690,1781
0101710,2248
0101720,1604
0101730,3669
0101740,2539
0101760,4464
0101770,6993
0101800,23649
0101830,5181
0101860,1717
0101890,2869
0101920,35671
0101950,2176
0101980,960
0102010,7992
0102040,4689
0102070,9141
0102100,15893
0102130,406
0102160,1173
0102190,1769
0102220,20639
0102250,970
0102310,3358
0102350,1033
0102370,50929
0102400,3031
0102430,26435
0102480,7664
0102490,4387
0102520,2937
0102550,1378
0102580,5204
0102610,1330
0102635,4099
0102640,2029
0102650,4152
0102670,879
0102700,7276
0102730,2249
0102760,1079
0102790,2170
0102820,2092
0102850,1427
0102880,3815
0102910,2608
0102940,2430
0102970,2623
0103000,993
0103030,20937
0103062,9592
0103090,976
0103120,2045
0103150,1544
0103180,7157
0103210,2788
0103240,1510
0103270,1302
0103300,1029
0103330,1777
0103360,11207
0103390,19228
0103420,1600
0103430,6937
0103450,7146
0103480,2442
0103510,1190
0103540,1221
0103580,2308
0103581,1268
0103582,302
0103583,262
0200001,3917
0200003,2045
0200004,506
0200005,328
0200006,401
0200007,205
0200010,10
0200020,1783
0200030,118
0200050,369
0200060,362
0200070,423
0200090,696
0200100,1006
0200120,403
0200130,7768
0200150,2049
0200180,43363
0200210,4265
0200240,1143
0200270,272
0200300,113
0200330,116
0200360,107
0200390,8499
0200450,133
0200480,2162
0200485,332
0200510,19421
0200520,324
0200525,314
0200540,2164
0200570,710
0200600,12541
0200610,1969
0200625,2009
0200630,15
0200660,476
0200670,58
0200680,191
0200690,145
0200700,194
0200710,627
0200715,32
0200720,352
0200730,163
0200760,325
0200770,924
0200775,190
0200780,573
0200800,635
0200810,271
0200840,106
0200862,3620
0400001,4214
0400003,2343
0400004,473
0400005,109
0400016,1135
0400018,224
0400019,200
0400020,181
0400021,557
0400022,127
0400023,1039
0400026,514
0400028,96
0400031,1019
0400033,227
0400034,693
0400037,168
0400040,64
0400041,344
0400043,190
0400047,64
0400052,304
0400053,880
0400054,497
0400056,759
0400057,85
0400061,58
0400065,3299
0400068,175
0400069,114
0400070,440
0400071,212
0400072,442
0400074,1348
0400075,410
0400077,71
0400078,166
0400079,530
0400081,371
0400082,1875
0400083,745
0400089,154
0400090,145
0400092,356
0400093,214
0400095,106
0400096,168
0400097,645
0400098,339
0400099,72
0400100,689
0400102,258
0400103,1520
0400106,300
0400107,190
0400108,351
0400111,325
0400112,13876
0400115,222
0400120,56
0400121,119
0400122,266
0400124,63
0400126,135
0400130,376
0400131,552
0400134,823
0400135,392
0400141,111
0400144,60
0400147,81
0400149,719
0400150,199
0400151,123
0400153,105
0400154,59
0400157,2300
0400159,86
0400163,125
0400165,197
0400181,364
0400182,200
0400184,395
0400185,432
0400187,219
0400190,592
0400191,1352
0400197,34
0400201,61
0400202,443
0400204,170
0400205,202
0400208,90
0400210,57
0400211,280
0400212,1300
0400213,106
0400217,125
0400218,685
0400219,1187
0400221,289
0400223,769
0400225,679
0400227,114
0400229,184
0400230,446
0400231,140
0400232,372
0400235,298
0400238,251
0400239,879
0400241,2904
0400243,176
0400244,685
0400246,364
0400248,352
0400254,128
0400255,503
0400258,65
0400259,477
0400261,372
0400263,26
0400264,72
0400266,115
0400267,30
0400268,931
0400273,2036
0400274,92
0400275,35
0400276,184
0400278,22
0400279,378
0400280,522
0400281,509
0400282,1637
0400284,179
0400288,173
0400290,1170
0400295,7263
0400303,1554
0400310,530
0400311,1068
0400315,86
0400316,4
0400317,255
0400318,226
0400320,534
0400321,48
0400322,133
0400323,335
0400326,997
0400329,6820
0400330,452
0400332,41
0400339,365
0400340,492
0400341,13
0400343,96
0400345,27
0400347,5
0400348,52
0400349,23
0400351,29
0400352,129
0400353,528
0400354,351
0400355,402
0400356,254
0400357,215
0400359,321
0400361,2031
0400363,63
0400364,127
0400366,284
0400367,124
0400368,607
0400370,107
0400373,394
0400374,252
0400376,254
0400377,81
0400381,221
0400382,135
0400384,245
0400385,241
0400386,190
0400387,81
0400388,135
0400389,375
0400390,601
0400391,10
0400394,83
0400395,886
0400397,159
0400399,116
0400401,202
0400402,520
0400403,28
0400404,7
0400405,140
0400406,567
0400407,301
0400409,106
0400413,533
0400414,105
0400415,214
0400417,469
0400419,6
0400420,11
0400423,141
0400424,524
0400425,585
0400427,1987
0400429,294
0400432,5547
0400438,705
0400439,155
0400440,702
0400441,268
0400442,140
0400444,426
0400445,328
0400447,379
0400448,44
0400450,9855
0400455,0
0400457,0
0400458,12
0400459,67
0400460,24
0400461,0
0400463,427
0400480,146
0400520,400
0400600,9854
0400608,981
0400610,897
0400612,110
0400613,124
0400614,252
0400615,423
0400616,76
0400618,597
0400619,472
0400621,257
0400625,58
0400626,0
0400630,56
0400632,351
0400633,246
0400636,558
0400637,128
0400638,1052
0400640,67
0400641,121
0400649,847
0400653,280
0400655,795
0400680,11835
0400720,192
0400745,1312
0400746,3160
0400747,892
0400748,110
0400750,12
0400751,78
0400752,160
0400754,426
0400755,311
0400756,170
0400757,552
0400758,555
0400760,626
0400762,0
0400763,489
0400764,532
0400765,0
0400766,655
0400768,35
0400769,430
0400770,267
0400771,81
0400772,57
0400773,0
0400774,480
0400775,888
0400776,452
0400777,4
0400778,608
0400779,0
0400780,426
0400781,719
0400782,81
0400783,283
0400785,273
0400786,223
0400787,72
0400788,99
0400789,345
0400790,2710
0400792,241
0400793,580
0400794,10
0400797,660
0400798,394
0400799,170
0400800,3210
0400801,228
0400802,186
0400803,560
0400805,634
0400807,223
0400810,148
0400814,75
0400815,75
0400816,515
0400817,23
0400818,570
0400819,1023
0400820,152
0400821,144
0400822,266
0400823,761
0400824,824
0400827,1360
0400828,389
0400829,1007
0400830,1166
0400831,695
0400832,886
0400833,723
0400834,529
0400837,0
0400838,325
0400839,491
0400840,302
0400841,1072
0400842,1279
0400843,781
0400844,139
0400845,317
0400846,228
0400847,1313
0400850,464
0400851,892
0400852,197
0400853,285
0400855,1146
0400857,488
0400858,366
0400859,463
0400861,633
0400863,856
0400864,435
0400866,556
0400867,400
0400870,29
0400871,1031
0400873,730
0400875,1087
0400876,159
0400877,1065
0400878,751
0400879,131
0400880,180
0400881,335
0400882,62
0400884,351
0400885,184
0400886,482
0400887,1469
0400888,535
0400890,416
0400891,6151
0400892,1529
0400893,173
0400894,162
0400895,352
0400897,668
0400898,867
0400899,1025
0400900,492
0400902,49
0400903,599
0400904,752
0400905,649
0400907,37
0400909,475
0400910,280
0400911,1510
0400912,177
0400913,840
0400914,73
0400915,354
0400916,357
0400918,77
0400919,588
0400920,8
0400921,823
0400922,503
0400924,533
0400925,714
0400926,670
0400927,940
0400929,257
0400930,862
0400933,2195
0400934,243
0400936,497
0400937,525
0400939,41
0400940,1072
