leaid,district_name,state,enrollment_2223
0622710,Los Angeles Unified,CA,426268
1200390,MIAMI-DADE,FL,335929
1709930,City of Chicago SD 299,IL,321666
3200060,CLARK COUNTY SCHOOL DISTRICT,NV,309787
1200180,BROWARD,FL,254732
1200870,HILLSBOROUGH,FL,224504
1201440,ORANGE,FL,208444
1201500,PALM BEACH,FL,190567
4823640,HOUSTON ISD,TX,189934
1302550,Gwinnett County,GA,181814
5101260,Fairfax County Public Schools,VA,179858
1500030,Hawaii Department of Education,HI,170209
2400480,Montgomery County Public Schools,MD,160554
3704720,Wake County Schools,NC,159778
3702970,Charlotte-Mecklenburg Schools,NC,144197
4816230,DALLAS ISD,TX,141169
2400510,Prince George's County Public Schools,MD,131133
1200480,DUVAL,AZ,129680
4816110,CYPRESS-FAIRBANKS ISD,TX,118010
4218990,Philadelphia City SD,PA,114779
1201590,POLK,FL,114483
2400120,Baltimore County Public Schools,MD,111082
4700148,Memphis-Shelby County Schools,TN,109797
1301290,Cobb County,GA,106703
4833120,NORTHSIDE ISD,TX,102719
1201080,LEE,FL,99354
2102990,Jefferson County,KY,95171
1201560,PINELLAS,FL,93702
0634320,San Diego Unified,CA,93694
4825170,KATY ISD,TX,92667
1301740,DeKalb County,GA,92368
5103130,Prince William County Public Schools,VA,91101
1302280,Fulton County,GA,89935
0803360,School District No. 1 in the county of Denver and State of C,CO,87883
4900030,Alpine District,UT,87136
2400060,Anne Arundel County Public Schools,MD,84452
1201530,PASCO,FL,84032
5102250,Loudoun County Public Schools,VA,81678
4703180,Davidson County,TN,80651
3500060,ALBUQUERQUE PUBLIC SCHOOLS,NM,79805
4819650,FORT BEND ISD,TX,79660
4502310,Greenville 01,SC,77978
2400090,Baltimore City Public Schools,MD,75995
0804800,Jefferson County School District No. R-1,CO,75327
4800211,IDEA PUBLIC SCHOOLS,TX,74217
1200150,BREVARD,FL,74125
1201470,OSCEOLA,FL,73558
4900210,Davis District,UT,73459
4808940,AUSTIN ISD,TX,73384
4819700,FORT WORTH ISD,TX,72783
4815000,CONROE ISD,TX,70783
0614550,Fresno Unified,CA,69424
3701920,Guilford County Schools,NC,68894
5509600,Milwaukee School District,WI,67500
4820010,FRISCO ISD,TX,66916
1201710,SEMINOLE,FL,66680
5103840,Virginia Beach City Public Schools,VA,65456
0622500,Long Beach Unified,CA,65129
3200480,WASHOE COUNTY SCHOOL DISTRICT,NV,64442
5100840,Chesterfield County Public Schools,VA,63916
1201920,VOLUSIA,FL,63365
0803450,Douglas County School District No. Re 1,CO,62341
0612330,Elk Grove Unified,CA,61886
4900360,Granite District,UT,61197
4702220,Knox County,TN,60609
4807710,ALDINE ISD,TX,60074
3200001,STATE-SPONSORED CHARTER SCHOOLS,NV,59670
4900420,Jordan District,UT,59421
4832940,NORTH EAST ISD,TX,59007
0404970,Mesa Unified District (4235),AZ,58343
2400420,Howard County Public Schools,MD,57676
3600103,NEW YORK CITY GEOGRAPHIC DISTRICT #31,NY,56788
4808700,ARLINGTON ISD,TX,56167
3600077,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,NY,54297
1302220,Forsyth County,GA,54077
4825740,KLEIN ISD,TX,53712
4820340,GARLAND ISD,TX,52767
3701500,Winston Salem / Forsyth County Schools,NC,52717
0802910,Cherry Creek School District No. 5 in the county of Arapah,CO,52392
1301230,Clayton County,GA,52186
0102370,Mobile County,AL,51979
3174820,OMAHA PUBLIC SCHOOLS,NE,51754
5307710,Seattle School District No. 1,WA,51238
1201230,MANATEE,FL,51234
4703690,Rutherford County,TN,50707
0609850,Corona-Norco Unified,CA,50682
2200840,Jefferson Parish,LA,50628
5101890,Henrico County Public Schools,VA,50389
1300120,Atlanta Public Schools,GA,50325
1201740,ST. JOHNS,FL,50151
4818300,EL PASO ISD,TX,50031
4501440,Charleston 01,SC,49929
1100030,District of Columbia Public Schools,DC,49687
3700011,Cumberland County Schools,NC,49661
3600098,NEW YORK CITY GEOGRAPHIC DISTRICT #24,NY,49065
4827300,LEWISVILLE ISD,TX,49060
4835100,PLANO ISD,TX,48921
4823910,HUMBLE ISD,TX,48758
4834320,PASADENA ISD,TX,48726
0634410,San Francisco Unified,CA,48722
2601103,Detroit Public Schools Community District,MI,48251
1200330,COLLIER,FL,48082
4840710,SOCORRO ISD,TX,47843
1201050,LAKE,FL,47444
4502490,Horry 01,SC,47357
2400330,Frederick County Public Schools,MD,46899
4838080,ROUND ROCK ISD,TX,46510
2012990,Wichita,KS,46101
2502790,Boston,MA,46001
4701590,Hamilton County,TN,45902
0634170,San Bernardino City Unified,CA,45852
1201770,ST. LUCIE,FL,45661
3904380,Columbus City Schools District,OH,45337
4838730,SAN ANTONIO ISD,TX,45255
1201680,SARASOTA,FL,45077
1201260,MARION,FL,44493
3600151,NEW YORK CITY GEOGRAPHIC DISTRICT #20,NY,44161
4825660,KILLEEN ISD,TX,43935
0200180,Anchorage School District,AK,43727
0401870,Chandler Unified District #80 (4242),AZ,43716
1302820,Henry County,GA,43417
2200540,East Baton Rouge Parish,LA,43253
4110040,Portland SD 1J,OR,43049
0609030,Clovis Unified,CA,42771
0619540,Kern High,CA,42667
4826580,LAMAR CISD,TX,42461
4827030,LEANDER ISD,TX,42415
3600087,NEW YORK CITY GEOGRAPHIC DISTRICT #10,NY,42282
4704530,Williamson County,TN,42171
1301110,Cherokee County,GA,41891
3172840,LINCOLN PUBLIC SCHOOLS,NE,41850
0607440,Capistrano Unified,CA,41749
0408800,Tucson Unified District (4403),AZ,41511
3704620,Union County Public Schools,NC,41497
2101860,Fayette County,KY,41422
4843650,UNITED ISD,TX,41381
5100810,Chesapeake City Public Schools,VA,40769
4814280,CLEAR CREEK ISD,TX,40693
4807830,ALIEF ISD,TX,40329
0635310,Santa Ana Unified,CA,39899
2201650,St. Tammany Parish,LA,39559
1602100,JOINT SCHOOL DISTRICT NO. 2,ID,39496
0633150,Riverside Unified,CA,39380
1200300,CLAY,FL,39212
4110820,Salem-Keizer SD 24J,OR,39201
4703030,Montgomery County,TN,38773
2703180,Anoka-Hennepin School District,MN,38590
0633840,Sacramento City Unified,CA,38588
3600123,NEW YORK CITY GEOGRAPHIC DISTRICT #27,NY,38395
4830390,MESQUITE ISD,TX,38356
4101920,Beaverton SD 48J,OR,38292
0614880,Garden Grove Unified,CA,38157
0802340,Aurora Joint District No. 28 of the counties of Adams and A,CO,38122
2400390,Harford County Public Schools,MD,38037
4501170,Berkeley 01,SC,37932
4811680,BROWNSVILLE ISD,TX,37898
1200510,ESCAMBIA,FL,37851
0634620,San Juan Unified,CA,37776
3411340,Newark Public School District,NJ,37662
4901140,Washington District,UT,37572
3702370,Johnston County Public Schools,NC,37286
4837020,RICHARDSON ISD,TX,37260
4900630,Nebo District,UT,37044
0406250,Peoria Unified School District (4237),AZ,36527
0684500,Irvine Unified,CA,36462
1301020,Savannah-Chatham County,GA,36326
4846680,YSLETA ISD,TX,36183
2200300,Caddo Parish,LA,36147
0101920,Jefferson County,AL,35951
0806900,Adams 12 Five Star Schools,CO,35747
4828920,MANSFIELD ISD,TX,35722
3904375,Cincinnati Public Schools,OH,35582
3600100,NEW YORK CITY GEOGRAPHIC DISTRICT #28,NY,35408
0638010,Stockton Unified,CA,35374
0638640,Sweetwater Union High,CA,35372
1713710,SD U-46,IL,35082
2801320,DESOTO CO SCHOOL DIST,MS,35003
3700530,Cabarrus County Schools,NC,34810
3600102,NEW YORK CITY GEOGRAPHIC DISTRICT #30,NY,34704
0631530,Poway Unified,CA,34663
4841220,SPRING ISD,TX,34114
4825260,KELLER ISD,TX,34078
0628050,Oakland Unified,CA,34043
4818180,EDINBURG CISD,TX,33911
4030240,TULSA,OK,33871
3904378,Cleveland Municipal,OH,33866
0613920,Fontana Unified,CA,33844
