leaid,lea_name,state,city,enrollment_2324,website,lea_type,operational_schools
0622710,Los Angeles Unified,CA,Los Angeles,419929,http://www.lausd.org,Regular public school district that is not a component of a supervisory union,785
1200390,MIAMI-DADE,FL,MIAMI,335500,http://www.dadeschools.net,Regular public school district that is not a component of a supervisory union,536
1709930,Chicago Public Schools Dist 299,IL,Chicago,322809,http://www.cps.k12.il.us,Regular public school district that is not a component of a supervisory union,643
3200060,Clark County,NV,Las Vegas,309394,http://www.ccsd.net/,Regular public school district that is not a component of a supervisory union,383
1200180,BROWARD,FL,FORT LAUDERDALE,251408,http://www.browardschools.com,Regular public school district that is not a component of a supervisory union,325
7200030,PUERTO RICO DEPARTMENT OF EDUCATION,PR,HATO REY,240910,http://www.de.pr.gov,Regular public school district that is not a component of a supervisory union,858
1200870,HILLSBOROUGH,FL,TAMPA,224152,http://www.sdhc.k12.fl.us/,Regular public school district that is not a component of a supervisory union,305
1201440,ORANGE,FL,ORLANDO,206815,http://www.ocps.net,Regular public school district that is not a component of a supervisory union,275
1201500,PALM BEACH,FL,WEST PALM BEACH,189777,http://www.palmbeachschools.org,Regular public school district that is not a component of a supervisory union,235
4823640,HOUSTON ISD,TX,HOUSTON,184109,http://www.houstonisd.org,Regular public school district that is not a component of a supervisory union,274
1302550,Gwinnett County,GA,Lawrenceville,182214,,Regular public school district that is not a component of a supervisory union,140
5101260,Fairfax County Public Schools,VA,Falls Church,180714,http://www.fcps.edu,Regular public school district that is not a component of a supervisory union,223
1500030,Hawaii Department of Education,HI,Honolulu,169308,http://www.hawaiipublicschools.org,Regular public school district that is not a component of a supervisory union,295
3704720,Wake County Schools,NC,Cary,161481,http://www.wcpss.net/,Regular public school district that is not a component of a supervisory union,197
2400480,Montgomery County Public Schools,MD,Rockville,160223,http://www.montgomeryschoolsmd.org,Regular public school district that is not a component of a supervisory union,211
3702970,Charlotte-Mecklenburg Schools,NC,Charlotte,144116,http://www.cmsk12.org,Regular public school district that is not a component of a supervisory union,184
4816230,DALLAS ISD,TX,DALLAS,139246,http://www.dallasisd.org,Regular public school district that is not a component of a supervisory union,240
2400510,Prince George's County Public Schools,MD,Upper Marlboro,131310,http://www.pgcps.org,Regular public school district that is not a component of a supervisory union,199
1200480,DUVAL,FL,JACKSONVILLE,127971,http://www.duvalschools.org,Regular public school district that is not a component of a supervisory union,208
4816110,CYPRESS-FAIRBANKS ISD,TX,CYPRESS,118470,http://www.cfisd.net,Regular public school district that is not a component of a supervisory union,93
4218990,Philadelphia City SD,PA,Philadelphia,117907,http://www.philasd.org,Regular public school district that is not a component of a supervisory union,220
1201590,POLK,FL,BARTOW,111041,http://www.polk-fl.net,Regular public school district that is not a component of a supervisory union,167
2400120,Baltimore County Public Schools,MD,Towson,110275,http://www.bcps.org,Regular public school district that is not a component of a supervisory union,179
4700148,Memphis-Shelby County Schools,TN,Memphis,110057,http://www.scsk12.org,Regular public school district that is not a component of a supervisory union,222
1301290,Cobb County,GA,Marietta,106358,,Regular public school district that is not a component of a supervisory union,110
4833120,NORTHSIDE ISD,TX,SAN ANTONIO,101095,http://www.nisd.net,Regular public school district that is not a component of a supervisory union,126
1201080,LEE,FL,FORT MYERS,100064,http://www.leeschools.net/,Regular public school district that is not a component of a supervisory union,120
